Nr.crt,Temperature_from_Humidity,Temperature_from_Pressure,CPU_Temperature,Humidity,Pressure
92.,25.07,24.02,36.32,31.07,987.17
93.,24.99,24.36,35.78,31.32,987.09
94.,25.11,24.38,35.78,30.81,987.16
95.,24.99,24.35,35.78,31.37,987.12
96.,24.99,23.97,36.32,31.48,987.17
97.,25.04,23.97,36.32,31.64,987.11
98.,24.95,23.94,36.32,31.1,987.12
99.,25.13,23.92,36.32,31.36,987.12
100.,25.04,24.28,35.78,30.97,987.13
101.,24.84,23.92,36.32,31.39,987.13
102.,25.04,23.87,36.32,31.57,987.13
103.,24.96,24.23,35.78,31.04,987.14
104.,24.96,24.21,35.78,31.3,987.13
105.,24.96,24.2,35.78,31.24,987.15
106.,24.92,23.79,36.32,31.35,987.13
107.,25.04,24.13,35.78,31.3,987.12
108.,24.9,24.13,35.78,31.27,987.12
109.,24.95,23.41,36.86,31.22,987.12
110.,24.92,23.39,36.86,31.65,987.12
111.,24.84,23.38,36.86,31.37,987.12
112.,24.9,24.13,35.78,31.1,987.15
113.,24.87,24.11,35.78,30.99,987.13
114.,24.92,24.1,35.78,31.08,987.13
115.,24.8,23.74,36.32,31.39,987.13
116.,24.72,23.72,36.32,31.68,987.12
117.,24.83,23.74,36.32,31.4,987.13
118.,24.92,23.79,36.32,30.55,987.13
119.,24.92,23.84,36.32,31.25,987.13
120.,24.83,23.87,36.32,31.14,987.12
121.,24.96,24.28,35.78,31.1,987.13
122.,25.04,24.38,35.78,31.22,987.13
123.,25.08,24.05,36.32,31.09,987.11
124.,25.19,24.45,35.78,31.22,987.09
125.,25.22,24.19,36.32,30.84,987.12
126.,25.25,24.61,35.78,31.26,987.12
127.,25.22,24.29,36.32,30.8,987.14
128.,25.32,24.3,36.32,31.32,987.11
129.,25.37,24.37,36.32,30.59,987.11
130.,25.42,24.01,36.86,31.25,987.14
131.,25.34,24.71,35.78,30.68,987.11
132.,25.28,24.35,36.32,31.22,987.13
133.,25.44,24.66,35.78,30.92,987.1
134.,25.16,24.63,35.78,31.02,987.07
135.,25.2,24.27,36.32,30.89,987.08
136.,25.3,24.61,35.78,31.25,987.08
137.,25.13,24.24,36.32,30.75,987.04
138.,25.19,23.84,36.86,30.78,987.1
139.,25.16,24.55,35.78,29.84,987.06
140.,25.2,23.81,36.86,30.98,987.09
141.,25.25,24.14,36.32,30.85,987.05
142.,25.3,24.5,35.78,31.05,987.09
143.,25.3,24.48,35.78,31.28,987.03
144.,25.13,23.76,36.86,31.11,987.06
145.,25.22,24.2,36.32,31.25,987.03
146.,25.28,24.3,36.32,30.79,987.03
147.,25.4,24.35,36.32,31.27,987.07
148.,25.34,24.75,35.78,31.27,987.05
149.,25.49,24.06,36.86,31.1,987.02
150.,25.34,24.76,35.78,31.63,987.06
151.,25.37,24.73,35.78,30.39,987.06
152.,25.3,24.71,35.78,30.82,987.01
153.,25.34,24.32,36.32,31.1,987.06
154.,25.4,24.61,35.78,31.17,987.01
155.,25.13,24.6,35.78,30.91,987.03
156.,25.37,24.22,36.32,31.0,987.02
157.,25.19,24.2,36.32,31.06,987.01
158.,25.16,24.15,36.32,30.91,987.05
159.,25.16,24.14,36.32,30.99,987.01
160.,25.07,24.12,36.32,31.5,987.0
161.,25.08,24.48,35.78,30.62,987.01
162.,25.19,24.07,36.32,30.81,986.98
163.,25.08,24.04,36.32,31.31,986.99
164.,25.01,24.4,35.78,30.75,986.96
165.,24.99,24.38,35.78,30.74,986.96
166.,25.11,24.02,36.32,29.45,987.03
167.,25.01,23.99,36.32,30.91,986.98
168.,24.84,23.95,36.32,30.72,986.96
169.,25.13,23.94,36.32,31.04,986.97
170.,24.95,24.28,35.78,31.01,986.98
171.,25.07,23.89,36.32,31.09,987.0
172.,25.01,24.28,35.78,31.08,987.01
173.,24.92,24.35,35.78,31.08,986.96
174.,25.19,24.05,36.32,31.16,986.96
175.,25.2,24.43,35.78,31.41,987.0
176.,25.07,24.45,35.78,31.35,986.94
177.,25.11,23.73,36.86,31.15,986.98
178.,25.13,24.38,35.78,31.08,986.99
179.,25.04,23.99,36.32,31.23,986.97
180.,25.07,24.35,35.78,31.15,987.02
181.,24.99,23.94,36.32,31.0,986.99
182.,24.95,23.92,36.32,31.52,986.96
183.,24.96,24.26,35.78,31.17,986.95
184.,24.95,23.89,36.32,31.27,986.98
185.,24.96,23.87,36.32,31.37,986.92
186.,24.84,24.2,35.78,31.43,986.95
187.,24.95,23.79,36.32,31.25,986.97
188.,24.84,23.79,36.32,31.31,987.02
189.,24.9,23.84,36.32,31.12,986.97
190.,25.13,23.95,36.32,31.83,986.96
191.,24.95,23.97,36.32,31.49,986.96
192.,25.13,24.35,35.78,31.57,986.95
193.,25.19,24.43,35.78,31.32,986.97
194.,25.19,24.1,36.32,31.02,986.92
195.,24.84,24.07,36.32,30.98,986.99
196.,25.04,24.05,36.32,30.96,986.94
197.,25.01,24.04,36.32,31.32,986.91
198.,25.04,24.0,36.32,31.4,986.96
199.,25.07,24.35,35.78,31.28,986.92
200.,25.04,24.33,35.78,31.47,986.9
201.,24.96,23.95,36.32,31.33,986.91
202.,25.01,24.28,35.78,31.12,986.89
203.,24.99,23.9,36.32,31.32,986.89
204.,25.16,24.25,35.78,31.87,986.9
205.,24.96,23.89,36.32,31.22,986.99
206.,24.84,24.21,35.78,31.93,986.91
207.,24.87,24.21,35.78,31.3,986.91
208.,24.78,23.85,36.32,31.15,986.93
209.,25.07,24.2,35.78,31.72,986.97
210.,24.95,23.79,36.32,31.04,986.97
211.,24.96,23.44,36.86,31.4,986.94
212.,24.92,24.16,35.78,31.58,986.98
213.,24.95,24.15,35.78,31.64,986.99
214.,25.04,24.2,35.78,31.04,986.99
215.,25.04,23.87,36.32,31.4,986.99
216.,24.95,23.9,36.32,30.92,986.99
217.,25.08,24.0,36.32,30.76,987.07
218.,24.92,24.45,35.78,31.46,987.03
219.,25.25,24.1,36.32,31.15,987.03
220.,25.11,24.48,35.78,31.21,987.02
221.,25.13,24.56,35.78,31.11,987.06
222.,25.28,24.27,36.32,30.96,987.08
223.,25.16,24.63,35.78,30.88,987.04
224.,25.25,24.66,35.78,31.35,987.09
225.,25.37,24.27,36.32,31.18,987.07
226.,25.19,24.58,35.78,30.72,987.02
227.,25.19,24.53,35.78,31.72,987.02
228.,25.11,24.17,36.32,31.01,987.04
229.,25.28,24.14,36.32,31.05,987.03
230.,25.2,24.12,36.32,30.83,987.03
231.,25.13,23.73,36.86,30.98,987.01
232.,25.11,24.09,36.32,31.17,987.05
233.,25.13,24.41,35.78,31.04,987.05
234.,24.92,24.05,36.32,30.85,987.06
235.,25.08,23.71,36.86,31.14,987.07
236.,25.19,24.46,35.78,31.51,987.05
237.,25.22,24.19,36.32,31.25,987.02
238.,25.32,23.88,36.86,30.99,987.02
239.,25.28,24.25,36.32,31.03,987.03
240.,25.2,23.91,36.86,31.48,987.03
241.,25.28,24.37,36.32,31.22,987.0
242.,25.32,24.37,36.32,30.88,987.04
243.,25.25,23.99,36.86,30.59,987.04
244.,25.34,24.68,35.78,31.01,987.02
245.,25.13,23.96,36.86,30.95,987.02
246.,25.25,23.89,36.86,31.37,987.02
247.,25.13,24.2,36.32,31.06,987.0
248.,25.07,23.81,36.86,30.98,987.02
249.,25.22,24.17,36.32,31.13,987.0
250.,25.01,24.1,36.32,30.89,987.0
251.,25.11,24.45,35.78,30.96,986.98
252.,25.04,24.09,36.32,31.59,986.98
253.,25.11,24.04,36.32,31.22,986.98
254.,24.87,23.63,36.86,30.94,986.99
255.,24.96,24.31,35.78,31.4,986.95
256.,25.11,23.97,36.32,31.06,987.01
257.,25.04,23.94,36.32,31.03,986.98
258.,24.87,23.9,36.32,31.28,987.03
259.,25.04,24.25,35.78,31.36,987.0
260.,24.84,23.87,36.32,31.14,986.99
261.,24.84,23.51,36.86,31.53,986.96
262.,24.87,24.23,35.78,30.97,987.0
263.,24.96,23.87,36.32,31.8,987.03
264.,24.99,24.21,35.78,31.47,986.96
265.,24.83,24.2,35.78,31.72,987.0
266.,24.99,23.84,36.32,31.34,987.01
267.,24.84,24.23,35.78,31.35,987.01
268.,24.87,23.89,36.32,31.56,986.97
269.,24.95,23.97,36.32,31.2,986.98
270.,25.11,24.05,36.32,30.95,986.99
271.,25.11,24.45,35.78,31.12,986.96
272.,25.08,24.45,35.78,30.88,986.98
273.,25.13,24.43,35.78,31.12,986.98
274.,24.99,24.0,36.32,31.01,986.97
275.,24.92,24.35,35.78,31.26,986.99
276.,24.8,23.97,36.32,31.2,987.0
277.,24.96,23.95,36.32,30.75,986.97
278.,25.04,24.3,35.78,31.27,986.96
279.,24.92,24.3,35.78,31.2,986.95
280.,24.99,24.28,35.78,31.1,986.93
281.,25.07,24.28,35.78,31.48,986.96
282.,24.8,23.89,36.32,31.78,986.93
283.,24.95,23.51,36.86,31.63,986.95
284.,24.92,24.21,35.78,31.49,986.95
285.,24.84,23.87,36.32,31.25,986.93
286.,24.9,23.95,36.32,31.55,986.96
287.,24.99,24.36,35.78,31.44,986.92
288.,25.04,24.4,35.78,31.44,986.97
289.,25.13,24.51,35.78,31.21,986.98
290.,25.13,24.61,35.78,30.83,986.93
291.,25.32,23.86,36.86,31.28,986.95
292.,25.19,24.24,36.32,31.47,986.96
293.,25.3,23.83,36.86,31.03,986.95
294.,25.04,24.53,35.78,31.18,986.93
295.,25.11,24.5,35.78,30.51,986.93
296.,25.04,24.48,35.78,31.04,986.92
297.,25.07,24.1,36.32,30.82,986.95
298.,25.16,24.07,36.32,31.41,986.95
299.,24.99,24.4,35.78,30.92,986.94
300.,25.07,24.4,35.78,31.12,986.92
301.,25.11,24.38,35.78,31.15,986.92
302.,25.08,24.38,35.78,31.26,986.9
303.,25.2,24.35,35.78,31.54,986.93
304.,24.96,24.36,35.78,31.16,986.92
305.,24.95,23.99,36.32,31.04,986.91
306.,25.01,23.97,36.32,31.27,986.94
307.,25.01,23.59,36.86,31.44,986.9
308.,25.04,23.94,36.32,31.52,986.91
309.,25.01,23.95,36.32,30.16,986.95
310.,24.99,24.28,35.78,30.99,986.92
311.,24.95,23.9,36.32,31.32,986.93
312.,24.92,23.92,36.32,31.46,986.89
313.,24.96,24.26,35.78,31.56,986.94
314.,24.92,24.25,35.78,31.09,986.9
315.,24.92,23.9,36.32,31.49,986.93
316.,25.01,23.9,36.32,31.06,986.91
317.,25.08,23.61,36.86,32.02,986.91
318.,24.96,24.02,36.32,31.5,986.95
319.,24.87,24.02,36.32,30.99,986.92
320.,25.01,24.36,35.78,31.86,986.88
321.,25.07,24.0,36.32,31.59,986.88
322.,24.99,24.33,35.78,31.12,986.89
323.,25.07,23.94,36.32,31.32,986.88
324.,25.13,24.31,35.78,31.49,986.89
325.,24.92,23.97,36.32,31.54,986.89
326.,25.07,23.34,37.39,30.78,986.93
327.,25.19,23.74,36.86,31.17,986.87
328.,25.25,24.14,36.32,31.34,986.88
329.,25.22,24.24,36.32,31.02,986.93
330.,25.4,24.68,35.78,31.06,986.88
331.,25.3,24.37,36.32,32.1,986.92
332.,25.32,24.42,36.32,30.86,986.86
333.,25.49,24.55,36.32,30.83,986.92
334.,25.54,24.69,36.32,30.56,986.88
335.,25.69,24.77,36.32,30.97,986.94
336.,25.87,24.46,36.86,30.42,986.87
337.,25.9,24.63,36.86,30.72,986.86
338.,25.75,25.04,36.32,30.84,986.89
339.,25.9,24.71,36.86,30.69,986.87
340.,25.82,24.71,36.86,29.89,986.86
341.,25.9,24.76,36.86,30.21,986.82
342.,25.94,24.79,36.86,30.27,986.83
343.,26.02,25.15,36.32,30.3,986.86
344.,26.06,24.83,36.86,30.17,986.81
345.,25.99,24.86,36.86,30.35,986.82
346.,26.11,24.88,36.86,30.91,986.81
347.,26.05,24.88,36.86,30.22,986.82
348.,26.11,24.88,36.86,30.55,986.81
349.,26.09,25.25,36.32,30.31,986.82
350.,25.9,24.88,36.86,30.97,986.82
351.,26.09,24.91,36.86,30.21,986.83
352.,26.14,24.96,36.86,30.69,986.81
353.,26.09,25.44,36.32,30.46,986.81
354.,26.28,25.21,36.86,30.19,986.76
355.,26.2,25.24,36.86,30.46,986.82
356.,26.23,25.29,36.86,30.09,986.78
357.,26.42,25.75,36.32,30.04,986.79
358.,26.5,25.43,36.86,30.15,986.76
359.,26.56,25.46,36.86,29.87,986.74
360.,26.42,25.48,36.86,30.0,986.77
361.,26.56,25.54,36.86,29.86,986.79
362.,26.71,25.27,37.39,29.86,986.79
363.,26.62,25.29,37.39,29.86,986.74
364.,26.66,25.64,36.86,29.31,986.74
365.,26.62,25.31,37.39,30.31,986.77
366.,26.8,24.93,37.93,29.92,986.76
367.,26.62,25.27,37.39,30.0,986.75
368.,26.68,25.29,37.39,30.25,986.74
369.,26.62,25.68,36.86,29.35,986.74
370.,26.62,25.61,36.86,29.87,986.75
371.,26.52,25.63,36.86,30.35,986.72
372.,26.44,25.63,36.86,30.92,986.7
373.,26.68,25.66,36.86,29.82,986.69
374.,26.54,25.32,37.39,29.68,986.69
375.,26.76,25.66,36.86,29.8,986.72
376.,26.62,25.34,37.39,30.05,986.72
377.,26.78,25.76,36.86,29.86,986.69
378.,26.62,25.84,36.86,29.8,986.69
379.,26.83,25.16,37.93,29.55,986.71
380.,26.71,25.56,37.39,29.35,986.69
381.,26.78,25.62,37.39,29.92,986.69
382.,26.98,26.03,36.86,29.62,986.75
383.,26.92,25.69,37.39,29.87,986.7
384.,27.03,26.06,36.86,30.78,986.71
385.,26.8,25.72,37.39,29.75,986.72
386.,26.92,25.31,37.93,30.65,986.71
387.,26.86,26.01,36.86,29.6,986.66
388.,26.83,25.64,37.39,29.71,986.66
389.,26.8,25.64,37.39,29.5,986.65
390.,26.98,25.66,37.39,29.56,986.62
391.,26.95,25.64,37.39,29.67,986.63
392.,26.9,25.28,37.93,30.02,986.65
393.,26.71,25.99,36.86,29.41,986.62
394.,26.74,25.26,37.93,29.45,986.67
395.,26.76,25.94,36.86,29.29,986.61
396.,26.76,25.21,37.93,29.69,986.68
397.,26.95,25.54,37.39,29.49,986.6
398.,26.74,25.52,37.39,29.73,986.6
399.,26.8,25.89,36.86,30.29,986.63
400.,26.74,25.54,37.39,29.58,986.66
401.,26.86,25.52,37.39,29.74,986.61
402.,26.83,25.11,37.93,29.69,986.62
403.,26.76,25.08,37.93,29.51,986.61
404.,26.64,25.46,37.39,30.3,986.61
405.,26.71,25.42,37.39,30.13,986.63
406.,26.76,25.79,36.86,29.98,986.59
407.,26.76,25.79,36.86,30.32,986.61
408.,26.71,25.11,37.93,29.82,986.65
409.,26.83,25.52,37.39,29.63,986.62
410.,26.92,25.56,37.39,30.61,986.58
411.,26.88,25.57,37.39,29.74,986.57
412.,26.86,25.23,37.93,29.51,986.56
413.,26.88,25.99,36.86,31.22,986.57
414.,26.86,25.99,36.86,29.78,986.58
415.,26.92,25.62,37.39,29.79,986.55
416.,26.78,25.23,37.93,29.77,986.53
417.,26.64,25.59,37.39,29.41,986.52
